tconst,title_final,year_final,release_date_final2,runtime_final,language_final,region_final,rating_imdb_final,votes_imdb_final,rated_final,budget_final,budget_final_source,revenue_domestic_final,revenue_international_final,revenue_worldwide_final,revenue_total_final,revenue_total_final_source,release_month_final
tt0003419,The Student of Prague,1913.0,1913-08-22,83.0,en,US,6.4,2616.0,Approved,,,,,,,,8.0
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,1914-08-02,78.0,ja,US,6.4,1549.0,Not Rated,,,,,,,,8.0
tt0004013,The Ghost Breaker,1914.0,1914-12-07,60.0,,US,4.7,52.0,,,,,,,,,12.0
tt0004026,The Golem,1914.0,1915-01-15,60.0,ja,US,6.7,1305.0,,,,,,,,,1.0
tt0004121,The Hound of the Baskervilles (1914),1914.0,1914-06-12,65.0,en,AT,5.6,183.0,,,,,,,,,6.0
tt0005231,The Hound of the Baskervilles,1915.0,1915-08-01,50.0,,DE,3.3,50.0,,,,,,,,,8.0
tt0005513,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916.0,1915-01-01,,,DE,4.8,44.0,,,,,,,,,1.0
tt0005514,"Der Hund von Baskerville, 4. Teil",1916.0,1915-05-01,,,DE,4.1,47.0,,,,,,,,,5.0
tt0005529,Blind Justice,1916.0,1916-09-25,100.0,sr,US,6.7,461.0,,,,,,,,,9.0
tt0005615,Life Without Soul,1915.0,1915-11-01,70.0,,US,6.4,67.0,,,,,,,,,11.0
tt0005772,Mortmain,1915.0,1915-09-06,50.0,,US,4.3,30.0,,,,,,,,,9.0
tt0005916,After Death,1915.0,1915-12-29,46.0,en,US,6.8,1106.0,,,,,,,,,12.0
tt0005951,Satan's Rhapsody,1917.0,1917-07-31,55.0,ja,US,6.7,960.0,,,,,,,,,7.0
tt0006238,Zhenshchina vampir,1915.0,1915-08-06,,en,RU,7.0,43.0,,,,,,,,,8.0
tt0006434,Black Orchids,1917.0,1917-01-01,50.0,,US,5.4,30.0,,,,,,,,,1.0
tt0006554,The Crimson Stain Mystery,1916.0,1916-08-21,,,US,6.2,30.0,,,,,,,,,8.0
tt0006820,"Homunculus, 1. Teil",1916.0,1916-08-18,69.0,,DE,5.9,132.0,,,,,,,,,8.0
tt0007107,The Mysteries of Myra,1916.0,1916-04-24,,,US,5.7,41.0,,,,,,,,,4.0
tt0007111,A Night of Horror,1917.0,1917-02-09,56.0,en,DE,6.0,31.0,,,,,,,,,2.0
tt0007183,Queen of Spades,1916.0,1916-04-19,63.0,en,US,6.6,911.0,,,,,262102.0,262102.0,262102.0,unified_total_usd,4.0
tt0007744,The Brand of Satan,1917.0,1917-07-09,55.0,,US,4.2,23.0,,,,,,,,,7.0
tt0007983,Furcht,1917.0,1917-09-21,72.0,,DE,6.1,267.0,,,,,,,,,9.0
tt0008099,Hilde Warren und der Tod,1917.0,1917-08-31,80.0,,DE,6.0,189.0,,,,,,,,,8.0
tt0008252,Malombra,1917.0,1917-01-01,75.0,sv,FI,5.9,168.0,,,,,,,,,1.0
tt0008825,Sacrifice,1918.0,1918-01-01,88.0,en,US,5.9,34.0,,,,,,,,,1.0
tt0008826,Alraune,1919.0,1918-01-01,80.0,ja,HU,5.4,69.0,,,,,,,,,1.0
tt0008854,The Eyes of the Mummy,1918.0,1918-10-03,63.0,nl,US,5.4,793.0,Approved,,,,,,,,10.0
